rpt_title,menu_id,standard,select_scr,query,form_name,summaryflg,workareas,globl_vars,messagelin,comment,entered_by,lupdate
"Low Inventory Report","Inventory Reports",T,"TITLESEL.SPR","SELECT title.*, ;||	SUM(inv_tran.quantity) AS curr_count ;|| FROM title ;||   LEFT JOIN inv_tran ON UPPER(inv_tran.title_id) == UPPER(title.title_id) ;|| WHERE NOT EMPTY(title.title_id) ;||   AND title.saftystock > 0 ;||   AND inv_tran.inv_state = "I" ;|","LOWINV.FRX",F,4,"","Reports local inventory count and value.","","***",9/10/1997
"Mailing Label","Mailing Label",T,"","SELECT " " AS special, ;||	*, ;||	PADR(addr_str(), 210) AS address ;||  FROM contact ;||  WHERE contact_no = m.contact_no ;||  INTO CURSOR curcntct","LBL2X4X2NP.LBX",F,5,"order_bal","Generates a mailing label for the current contact.","","***",9/23/2004
"Manifest Listing","Print Batch",T,"","SELECT *|| FROM orders,  contact ;|| WHERE contact.contact_no = orders.shptocntct ;||	AND orders.order_key != 0 ;||	AND ("UPS" $ UPPER(courier) OR "RPS" $ UPPER(courier)) ;||	AND status IN ("Shipped", "Closed", "Backorder") ;||	AND EXISTS (SELECT item_no","MANILIST.FRX",F,5,"","Print a continuous form manifest listing.","","***",9/10/1997
"Mispaid Items","Report Payables",T,"DATE_SEL.SPR","SELECT UPPER(LEFT(ordritem.title, 40)) AS Sort1, ;||	ordritem.title_id, ;||	ordritem.item_no, ;||	ordritem.title, ;||	title.isbn, ;||	orders.order_key, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.order_date, ;||	orders.ship_date, ;||	orders.cu","ITEMRCPTS.FRX",F,0,"","Identifies items that were paid that shouldn't be.","Items that belong to Pro Forma, Review Copy, or Transfer invoices should not be paid.","***",7/12/2010
"Missing Keys","Hidden",T,"","SELECT UPPER(contact.company) AS sort1, ;||	UPPER(contact.last_name) AS sort2, ;||	upper(contact.first_name) AS sort3, ;||	orders.order_date AS transdate, ;||	PADR([ORDER ] + orders.order_type, 20) AS transevent, ;||	padr(invoice_str(orders.order_no, ord","",F,0,"","Finds transactions with missing keys.","Used in the data integrity tests.","***",7/9/2010
"Missing Royalties","Report Payables",T,"TITLESEL.SPR","SELECT orders.order_type, ;||	orders.order_key, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.order_date, ;||	orders.status, ;||	orders.discount AS oDiscount, ;||	orders.subtotal, ;||	orders.total, ;||	orders.terms, ;||	ordritem.item_no, ;||	ord","ITEMLIST.FRX",F,0,"","Reports items that should have royalties but don't.","","***",4/1/2010
"Monthly Sales by Title","Sales Reports",T,"TITLESEL.SPR","SELECT 	;||	title_id, ;||	Year(ship_date) * 100 + Month(ship_date) AS Sort2, ;||	Year(ship_date) AS Year, ;||	Month(ship_date) AS Month, ;||	title, ;||	order_key, ;||	order_no, ;||	invoice_no, ;||	order_type, ;||	terms, ;||	oDiscount, ;||	ship_date, ;||	","MONTHLYSALES.FRX",T,5,"","This presents a breakdown of titles that have been ordered or returned organized by month.  It includes free items as well as consignment and warehous transfers.","This report was completely rewritten on December 31, 2009.  It uses the Title Sales by Discount report as a starting point, and then adds consignment, warehouse transfers, review copy, and inventory adjustment items to it.","***",1/1/2010
"Old Sales vs. Returns by Title by Custom","Sales Reports",T,"ORDERSEL.SPR","SELECT UPPER(company) AS sort1, ;||	UPPER(last_name) AS sort2, ;||	UPPER(first_name) AS sort3, ;||	orders.customerno, ;||	UPPER(ordritem.title_id) AS title_id, ;||	IIF(ISNULL(title.supplierno), 0, title.supplierno) AS supplierno, ;||	PADR(ordritem.title,","TITLESALEVRET2.FRX",T,0,"","Lists total sales and returns for each title for the selected period.  Sales are organized by customer.","","***",5/21/2004
"Old Sales vs. Returns by Title by Suppli","Sales Reports",T,"ORDERSEL.SPR","SELECT UPPER(company) AS sort1, ;||	UPPER(last_name) AS sort2, ;||	UPPER(first_name) AS sort3, ;||	UPPER(ordritem.title_id) AS title_id, ;||	title.supplierno, ;||	orders.customerno, ;||	PADR(ordritem.title, 70) AS Title,  ;||	IIF(order_type = "C", ordrit","TITLESALEVRET.FRX",T,0,"","Lists total sales and returns for each title for the selected period.  Titles are organized by supplier.","","***",4/30/2004
"On Hold Invoice List","Sales Reports",T,"DATE_SEL.SPR","SELECT orders.*,  ;||	SUM(IIF(ISNULL(ordercpt.order_paid), 0000000.00, ordercpt.order_paid)) AS paid_amt ;||  FROM orders ;||  	LEFT JOIN ordercpt ON ordercpt.order_key = orders.order_key ;||  WHERE order_type = "C" ;||    AND orders.status = "Hold" ;||","INVLIST.FRX",F,5,"","Reports invoices that have a status of "Hold" for the date range selected.","","***",10/19/2007
"Order History Detail","Customer History Rep",T,"DATE_SEL.SPR","	SELECT orders.*, ;||		ordritem.*, ;||		IIF(order_type = "C", quantity, -quantity) AS orderqty ;||	 FROM orders, ordritem ;||	 WHERE orders.customerno = m.customerno ;||	   AND ordritem.order_key = orders.order_key ;||	   AND orders.order_date >= m.start","CUSTHST2.FRX",F,5,"","Lists the invoices, items, and payment history for the current customer.","","***",9/10/1997
"Orphaned Ledger Transactions","None",T,"","SELECT * FROM badtrans ;||ORDER BY account_no, acct_type, trans_date ;||INTO CURSOR orphanldgr","ORPHLDGR.FRX",F,3,"","","Depends on the existance of the BADTRANS cursor.","***",10/8/1997
"Orphaned Receipt Records","None",T,"","SELECT badrcpts.receipt_no, ;||	ordercpt.customerno, ;||	ordercpt.order_key, ;||	ordercpt.lupdate AS lupdate, ;||	0000000.00 + order_paid AS amount, ;||	"Orphaned order receipt via integrity test." AS comment ;||  FROM badrcpts ;||    LEFT JOIN ordercpt","ORPHANRC.FRX",F,5,"","","Depends on the existence of the BADRCPT cursor created by the Orphaned Receipts Data Integrity Test.","***",10/22/1997
"Over 30% Returned","Sales Reports",T,"ORDERSEL.SPR","SELECT UPPER(company) AS sort1, ;||	UPPER(last_name) AS sort2, ;||	UPPER(first_name) AS sort3, ;||	customerno, ;||	SUM(IIF(order_type = "C", total, 0000000.00)) AS sales, ;||	SUM(IIF(order_type = "R", total, 0000000.00)) AS returns,  ;||	(SUM(IIF(order_t","SALESVRETSUM.FRX",F,0,"","Lists customers whose total returns exceed 30% of their purchases by amount.","","***",8/28/2002
"Packing Slip","Print Invoice",T,"","SELECT PADR(UPPER(ordritem.title), 70) AS title2, ;||	orders.*, ;||	ordritem.*, ;||	title.isbn, ;||	title.isbn13, ;||	orders.order_date AS reportdate ;|| FROM orders ;||   LEFT JOIN ordritem ON ordritem.order_key = orders.order_key ;||   LEFT JOIN title","PACKSLIP.FRX",F,5,"","Generates a packing slip for the currently displayed customer invoice.","This report generates packing lists for either a specific order or the selected batch of shipments.","***",9/19/2006
"Packing Slip Sorted by Title ID","Print Invoice",T,"","SELECT PADR(UPPER(ordritem.title), 70) AS title2, ;||	orders.*, ;||	ordritem.*, ;||	title.isbn, ;||	title.isbn13, ;||	orders.order_date AS reportdate ;|| FROM orders ;||   LEFT JOIN ordritem ON ordritem.order_key = orders.order_key ;||   LEFT JOIN title","PACKSLIP.FRX",F,5,"","Generates a packing slip for the currently displayed customer invoice.","This report generates packing lists for either a specific order or the selected batch of shipments.","***",9/19/2006
"Packing Slips","Print Batch",T,"","SELECT PADR(UPPER(ordritem.title), 70) AS title2, ;||	orders.*, ;||	ordritem.*, ;||	title.isbn, ;||	title.isbn13, ;||	orders.order_date AS reportdate ;|| FROM orders ;||   LEFT JOIN ordritem ON ordritem.order_key = orders.order_key ;||   LEFT JOIN title","PACKSLIP.FRX",F,5,"","Generates packing slips for the currently selected batch of invoices.","This report generates packing lists for either a specific order or the selected batch of shipments.","***",9/19/2006
"Packing Slips Sorted by Title ID","Print Batch",T,"","SELECT PADR(UPPER(ordritem.title), 70) AS title2, ;||	orders.*, ;||	ordritem.*, ;||	title.isbn, ;||	title.isbn13, ;||	orders.order_date AS reportdate ;|| FROM orders ;||   LEFT JOIN ordritem ON ordritem.order_key = orders.order_key ;||   LEFT JOIN title","PACKSLIP.FRX",F,5,"","Generates packing slips for the currently selected batch of invoices.","This report generates packing lists for either a specific order or the selected batch of shipments.","***",9/19/2006
"Payable Account History","None",T,"DATE_SEL.SPR","SELECT DISTINCT ldgrtran.transactno, ;||				ldgrtran.trans_date, ;||				ldgrtran.transevent, ;||				ldgrtran.trans_type, ;||				ldgrtran.account_no, ;||				ldgrtran.acct_type, ;||				ldgrtran.comment, ;||				ldgrtran.amount, ;||				ldgrtran.order_key, ;|","ACCOUNTS.FRX",F,5,"","Reports the account history for the supplier.","","***",1/1/1999
"Payables Account History","Report Payables",T,"PAYABLES.SPR","SELECT ldgrtran.*, ;||	PADR(get_cust_po(order_key), 12) AS cust_po_no, ;||	PADR(getinvoice(order_key), 13) AS invoicestr, ;|| 	PADR(getrcptdet(receipt_no),40) AS rcptdetail, ;||	contact.company, ;||	contact.last_name, ;||	contact.first_name ;|| FROM ldgr","ACCOUNTS.FRX",F,4,"","Generates a report of all accounts payables.","Lists the selected accounts with an account type of "L".  The report shows the detailed liability transactions and the balance for each account.","***",9/10/1997
"Payables Brief List by Name","Report Payables",T,"PAYABLES.SPR","SELECT SUM(ldgrtran.amount) AS balance, ;||		MAX(ldgrtran.trans_date) AS as_of_date, ;||		contact.company, ;||		contact.LAST_NAME, ;||		contact.FIRST_NAME, ;||		contact.city, ;||		contact.state_abbr, ;||		contact.zip_code, ;||		contact.phone, ;||		contac","ACCTLIST.FRX",F,4,"","Generates a brief listing of all accounts payables.","Lists the selected accounts with an account type of "L".","***",1/5/2001
"Payee Account History","Print Payment",T,"DATE_SEL.SPR","SELECT DISTINCT ldgrtran.transactno, ;||				ldgrtran.trans_date, ;||				ldgrtran.transevent, ;||				ldgrtran.trans_type, ;||				ldgrtran.account_no, ;||				ldgrtran.acct_type, ;||				ldgrtran.comment, ;||				ldgrtran.amount, ;||				ldgrtran.order_key, ;|","ACCOUNTS.FRX",F,5,"","Reports an account history for the recipient of this payment.","","***",2/21/2001
"Payment History by Account","Report Payables",T,"DATE_SEL.SPR","SELECT * FROM ldgrtran, contact ;||  WHERE contact.contact_no = ldgrtran.account_no ;||	AND ldgrtran.acct_type = "L" ;||	AND transevent = "PAYMENT" ;||	AND ldgrtran.trans_date >= m.start_date ;||	AND ldgrtran.trans_date <= m.end_date ;||  ORDER BY trans_","PAYMENT.FRX",F,0,"","Reports payments organized by transaction types, (i.e. expense accounts).","","***",2/21/2001
"Picklist","Print Batch",T,"","	SELECT orders.order_no, ;||		orders.invoice_no, ;||		orders.batch_no, ;||		ordritem.title_id, ;||		ordritem.title, ;||		ordritem.condition, ;||	 	quantity ;||	 FROM orders, ordritem ;||	 WHERE ordritem.order_key = orders.order_key ;||	   AND ordritem.it","PICKLIST.FRX",T,5,"","Generates a picklist for the currently selected batch of invoices.","This report generates a picklist for the selecte batch of shipments.","***",9/10/1997
"Picklist by ISBN","Print Batch",T,"","	SELECT orders.order_no, ;||		orders.invoice_no, ;||		orders.batch_no, ;||		ordritem.title_id, ;||		ordritem.title, ;||		title.isbn, ;||		ordritem.condition, ;||	 	quantity ;||	 FROM orders ;||	   JOIN ordritem ON ordritem.order_key = orders.order_key ;|","PICKLSTBYISBN.FRX",T,5,"","Generates a picklist for the currently selected batch of invoices.","This report generates a picklist for the selecte batch of shipments.","***",8/6/2007
"Picklist by Shelf ID","Print Batch",T,"","	SELECT orders.order_no, ;||		orders.invoice_no, ;||		orders.batch_no, ;||		ordritem.title_id, ;||		ordritem.title, ;||		title.shelf_id, ;||		title.isbn, ;||		ordritem.condition, ;||	 	quantity ;||	 FROM orders ;||	   JOIN ordritem ON ordritem.order_key","PICKLSTBYSHELF.FRX",T,5,"","Generates a picklist for the currently selected batch of invoices.","This report generates a picklist for the selecte batch of shipments.","***",8/6/2007
"Print Check","Report Payables",T,"DATE_SEL.SPR","SELECT * FROM ldgrtran, contact ;||  WHERE contact.contact_no = ldgrtran.account_no ;||	AND ldgrtran.acct_type = "L" ;||	AND transevent = "PAYMENT" ;||	AND ldgrtran.trans_date >= m.start_date ;||	AND ldgrtran.trans_date <= m.end_date ;||  INTO CURSOR pay","CHECK2.FRX",F,0,"","Use to write out a single check in landscape orientation.","","***",2/21/2001
"Print Checks","Report Payables",T,"DATE_SEL.SPR","SELECT * FROM ldgrtran, contact ;||  WHERE contact.contact_no = ldgrtran.account_no ;||	AND ldgrtran.acct_type = "L" ;||	AND transevent = "PAYMENT" ;||	AND ldgrtran.trans_date >= m.start_date ;||	AND ldgrtran.trans_date <= m.end_date ;||	AND NOT "CHECK #","L-MP123B.LBX",F,0,"","Writes a collection of payments as checks using 3-checks per page stock.","","***",10/13/2008
"Print Single Check","Report Payables",T,"DATE_SEL.SPR","SELECT * FROM ldgrtran, contact ;||  WHERE contact.contact_no = ldgrtran.account_no ;||	AND ldgrtran.acct_type = "L" ;||	AND transevent = "PAYMENT" ;||	AND ldgrtran.trans_date >= m.start_date ;||	AND ldgrtran.trans_date <= m.end_date ;||  INTO CURSOR pay","CHECK.FRX",F,0,"","Use to write out a single check in landscape orientation.","","***",10/13/2008
"Print This Check","Print Payment",T,"","SELECT * FROM ldgrtran, contact ;||  WHERE contact.contact_no = ldgrtran.account_no ;||	AND ldgrtran.acct_type = "L" ;||	AND transevent = "PAYMENT" ;||	AND ldgrtran.transactno = m.transactno ;||  INTO CURSOR payments||","CHECK.FRX",F,0,"","Prints the currently displayed payment as a single check in landscape orientation.","","***",12/15/2005
"Profit & Loss (Cash) by Account","Report Receivables",T,"DATE_SEL.SPR","SELECT account_no, ;||	PADR(get_name(account_no, 35), 35) as acct_name, ;||	0000000.00 + SUM(IIF(acct_type = "A", -amount, 0)) AS Income, ;||	0000000.00 + SUM(IIF(acct_type = "L", amount, 0)) AS Expense ;||  FROM ldgrtran ;||  WHERE ;||  	((transevent IN","PROFITLOSSBYACCT.FRX",F,0,"","Profit & Loss Statement by Month","This report shows income (receipts) vs. expenses (payments) by month for the selected date range.  It therefore looks at profit and loss on a cash basis.  Cost of Goods Sold is currently NOT explicitly reported.  However, payments against purchase orders","***",10/9/2008
"Profit & Loss (Cash) by Month","Report Receivables",T,"DATE_SEL.SPR","SELECT STR(YEAR(trans_date), 4) + [/] + STR(MONTH(trans_date), 2) AS cMonth, ;||	0000000.00 + SUM(IIF(acct_type = "A", -amount, 0)) AS Income, ;||	0000000.00 + SUM(IIF(acct_type = "L", amount, 0)) AS Expense ;||  FROM ldgrtran ;||  WHERE ;||  	((transeve","PROFITLOSS.FRX",F,0,"","Profit & Loss Statement by Month","This report shows income (receipts) vs. expenses (payments) by month for the selected date range.  It therefore looks at profit and loss on a cash basis.  Cost of Goods Sold is currently NOT explicitly reported.  However, payments against purchase orders","***",9/29/2008
"Purchase Order","Print PO",T,"","SELECT ;||	orders.*, ;||	ordritem.*, ;||	contact.phone, ;||	contact.phone2, ;||	title.isbn, ;||	title.isbn13, ;||	title.shelf_ID, ;||	supplier.BillTo_ID, ;||	supplier.ShipTo_ID, ;||	0000000.00 + ;||		IIF(ordritem.inventory, ;||		  SUM(IIF(ISNULL(inv_tran","PURCHASE.FRX",F,5,"","Prints the currently displayed purchase order.","","***",9/10/1997
"Purchase Order Envelope","Print PO",T,"","SELECT orders.*, ordritem.* ;|| FROM orders, ordritem ;|| WHERE ordritem.order_key = orders.order_key ;||   AND orders.order_type = "P";||   AND orders.order_key = m.order_key;|| INTO CURSOR purchase","PO_ENVLP.FRX",F,5,"","Prints an envelope for the current P.O.  Change to a landscape printer setup!","Uses the same query as the Purchase Order Report to avoid a reselection of data--even though all the data selected is not necessary.","***",9/10/1997
"Receipts History Detail","Customer History Rep",T,"","SELECT *;|| FROM receipt JOIN ordercpt ON ordercpt.receipt_no = receipt.receipt_no ;|| WHERE ordercpt.order_key = m.order_key ;|| ORDER BY receipt.receipt_no ;|| INTO CURSOR custrcpt||","CUSTRCPT.FRX",F,0,"","Lists the customer receipts and the invoices to which they were applied.","","***",10/27/2005
"Receipts List","Report Receivables",T,"RECPTSEL.SPR","SELECT * ;|| FROM receipt ;|| WHERE receipt.recpt_date >= m.start_date ;||   AND receipt.recpt_date <= m.end_date ;||   <<select_str>>;|| ORDER BY recpt_type, recpt_date ;|| INTO CURSOR chksncash||","ACCTRECV.FRX",F,5,"","Reports receipts by receipt type.","","***",10/26/2005
"Receipts by Title","Report Receivables",T,"TITLESEL.SPR","SELECT ordritem.title_id AS title_id, ;||	orders.order_key, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.order_type, ;||	orders.ship_date, ;||	receipt.recpt_date AS pay_date, ;||	ordritem.quantity AS order_qty, ;||	ordritem.order_date, ;||	ordr","SALESUM2.FRX",T,5,"","Reports the total receipts (as opposed to orders) for selected titles by title ID.","Modified 6/26/2000 to eliminate backordered and cancelled items.||Modified 11/11/02 because returns were being dropped when a start date was specified.||09/27/06 Returns still being dropped.  Added UNION clause to separate selection of invoices from retu","***",9/28/2006
"Receivables Account History","Report Receivables",T,"RECVABLS.SPR","SELECT 	UPPER(contact.company) AS Sort1, ;||	UPPER(contact.last_name) AS Sort2, ;||	UPPER(contact.first_name) AS Sort3, ;||	ldgrtran.*, ;||	PADR(get_cust_po(order_key), 12) AS cust_po_no, ;||	PADR(getinvoice(order_key), 13) AS invoicestr, ;|| 	PADR(getrc","ACCOUNTS.FRX",F,4,"","Generates a reports of all accounts receivables.","Lists the selected accounts with an account type of "A".  The report shows the detailed revenue transactions and the balance for each account.","***",9/10/1997
"Receivables Brief List by Date","Report Receivables",T,"RECVABLS.SPR","SELECT SUM(ldgrtran.amount) AS balance, ;||				MAX(ldgrtran.trans_date) AS as_of_date, ;||				contact.company, ;||				contact.LAST_NAME, ;||				contact.FIRST_NAME, ;||				contact.city, ;||				contact.state_abbr, ;||				contact.zip_code, ;||				contact.ph","ACCTLIST.FRX",F,4,"","Generates a reports of all accounts receivables.","Lists the selected accounts with an account type of "A".  The report shows the detailed revenue transactions and the balance for each account.","***",9/10/1997
"Receivables Brief List by Name","Report Receivables",T,"RECVABLS.SPR","SELECT UPPER(contact.company) AS Sort1, ;||		UPPER(contact.last_name) AS Sort2, ;||		UPPER(contact.first_name) AS Sort3, ;||		SUM(ldgrtran.amount) AS balance, ;||		MAX(ldgrtran.trans_date) AS as_of_date, ;||		contact.contact_no, ;||		contact.company, ;||","ACCTLIST.FRX",F,4,"","Generates a brief listing of all accounts receivables.","Lists the selected accounts with an account type of "A".  The report shows the detailed revenue transactions and the balance for each account.","***",12/5/1997
"Receivables Minor Balances","Report Receivables",T,"RECVABLS.SPR","SELECT SUM(ldgrtran.amount) AS balance, ;||		MAX(ldgrtran.trans_date) AS as_of_date, ;||		contact.company, ;||		contact.LAST_NAME, ;||		contact.FIRST_NAME, ;||		contact.city, ;||		contact.state_abbr, ;||		contact.zip_code, ;||		contact.phone, ;||		contac","ACCTLIST.FRX",F,4,"","Generates a brief listing of all accounts receivables.","Lists the selected accounts with an account type of "A".  The report shows the detailed revenue transactions and the balance for each account.","***",4/7/2000
"Receivables Post DIT Comparison","Report Receivables",T,"","SELECT *, ;||	0000000.00 AS oldbalance, ;||	balance AS newbalance ;||  FROM <<Report Title: Receivables Brief List by Name|<<Select_str>>>> ;||  WHERE balance != 0 ;||UNION ;||SELECT *, ;||	balance AS oldbalance, ;||	0000000.00 AS newbalance ;||  FROM Rc","ACCTLISTCOMPARE.FRX",F,0,"","Compares account balances from pre and post Receivables Reprocessing DIT.","","***",1/7/2010
"Refunds Report","Report Receivables",T,"DATE_SEL.SPR","SELECT * FROM ldgrtran ;||  WHERE trans_type = "Refund" ;||    AND account_no != 0 ;||    AND acct_type = "A" ;||    AND trans_date >= m.start_date ;||    AND trans_date <= m.end_date ;||  ORDER BY transevent, trans_date ;||  INTO CURSOR refunds","REFUNDS.FRX",T,5,"","Reports refunds that were issued.","","***",2/9/2000
"Return Memo","Print Return",T,"","SELECT PADR(UPPER(ordritem.title), 70) AS title2, ;||	orders.*, ;||	ordritem.*, ;||	title.isbn, ;||	title.isbn13, ;||	orders.order_date AS reportdate ;|| FROM orders ;||   LEFT JOIN ordritem ON ordritem.order_key = orders.order_key ;||   LEFT JOIN title","RETURN.FRX",F,5,"","Generates a return memo for the currently displayed customer return.","Generates a return memo from the Customer Returns screen.","***",9/19/2006
"Return Memo (Formal)","Print Return",T,"","SELECT PADR(UPPER(ordritem.title), 70) AS title2, ;||	orders.*, ;||	ordritem.*, ;||	title.isbn, ;||	title.isbn13, ;||	orders.order_date AS reportdate ;|| FROM orders ;||   LEFT JOIN ordritem ON ordritem.order_key = orders.order_key ;||   LEFT JOIN title","RETURN2.FRX",F,5,"","Generates a return form for the currently displayed customer return.","Generates a return memo from the Customer Returns screen.","***",9/19/2006
"Returns List","Sales Reports",T,"ORDERSEL.SPR","SELECT * FROM orders ;||   WHERE order_type = "R" ;||     AND orders.ship_date >=m.start_date ;||     AND orders.ship_date <=m.end_date ;||   <<SELECT_STR>> ;||   ORDER BY order_no, invoice_no ;||   INTO cursor invoices","RETLIST.FRX",F,5,"","Presents a chronological listing of customer returns for the date range selected.","","***",8/9/2000
"Returns by Title","Sales Reports",T,"TITLESEL.SPR","SELECT ;||        title_id, ;||        title, ;||        ISBN, ;||        SUM(order_qty) AS order_qty, ;||        SUM(order_amt) AS order_amt, ;||        SUM(paid_qty) AS paid_qty, ;||        SUM(paid_amt) AS paid_amt ;||  FROM <<Report Title: Title Sale","SALESUMMARY.FRX",F,5,"","Reports the titles returned.  Similar to Sales by Title, but limited to returns.","See comments for "Receipts by Title" report.","***",1/2/2010
"Royalty Account History","Report Payables",T,"PAYABLES.SPR","SELECT ldgrtran.*, ;||	PADR(get_cust_po(order_key), 12) AS cust_po_no, ;||	PADR(getinvoice(order_key), 13) AS invoicestr, ;|| 	PADR(getrcptdet(receipt_no),40) AS rcptdetail, ;||	000.00 + get_rate(trans_type, spec_no) AS rate, ;||	contact.company, ;||	con","RSTATMNT.FRX",F,4,"","Generates a Royalty Statement based on the authors account history.","This procedure depends on the fact that a blank record (i.e. SPEC_NO = 0) exists for joining royalty rate data with ledger transactions.","***",9/10/1997
"Royalty Contract Specifics","Report Payables",T,"AUTHORSE.SPR","SELECT ryltyspc.*,  ;||	title.title ;|| FROM ryltyspc, title ;|| WHERE UPPER(ryltyspc.title_id) == UPPER(title.title_id) ;||   	AND author_no != 0 ;|| 	<<select_str>> ;|| ORDER BY author_no, title.title_id, threshold, discount;|| INTO CURSOR ryltyspec","RYLTYSPC.FRX",F,5,"","","","***",9/10/1997
"Royalty Sales","Report Payables",T,"AUTHORSE.SPR","	SELECT 	ryltyspc.author_no, ;||			contact.company, ;||			contact.last_name, ;||			contact.first_name, ;||			title.title_id, ;||			title.title, ;||			title.ret_price, ;||			ryltyspc.spec_no, ;||			ryltyspc.threshold, ;||			ryltyspc.discount AS discount,","ROYALTY3.FRX",F,4,"","Generates a detailed royalty statement for all authors of selected titles.","","***",11/6/2000
"Sales Rep Commission Specifics","Report Payables",T,"SREP_SEL.SPR","SELECT *, salesrepno as account_no ;||  FROM srcomspc ;|| WHERE spec_no > 0 ;||   <<select_str>> ;|| ORDER BY salesrepno ;|| INTO CURSOR commission","SRCOMSPC.FRX",F,5,"","","Used only when the toolbox print command is selected while viewing sales rep commission spec's.","RWL",6/14/2016
"Sales Tax - Canadian","Report Payables",T,"SALESTAX.SPR","SELECT orders.order_key, ;||	orders.order_type, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.order_date, ;||	orders.subtotal, ; ||	orders.shipcharge, ;||	orders.taxable, ;||	orders.tax_ship, ;||	orders.s_tax_rate, ;||	orders.c_tax_rate, ;||	ord","STATETAX.FRX",T,5,"","Print a listing of sales tax due in a date range.","","***",2/27/2001
"Sales Tax - County","Report Payables",T,"SALESTAX.SPR","SELECT orders.order_key, ;||	orders.order_type, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.order_date, ;||	orders.subtotal, ; ||	orders.shipcharge, ;||	orders.taxable, ;||	orders.tax_ship, ;||	orders.s_tax_rate, ;||	orders.c_tax_rate, ;||	ord","COUNTYTX.FRX",T,5,"","Print a listing of sales tax due in a date range.","","***",9/10/1997
"Sales Tax - State/Province","Report Payables",T,"SALESTAX.SPR","SELECT orders.order_key, ;||	orders.order_type, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.order_date, ;||	orders.subtotal, ; ||	orders.shipcharge, ;||	orders.taxable, ;||	orders.tax_ship, ;||	orders.s_tax_rate, ;||	orders.c_tax_rate, ;||	ord","STATETAX.FRX",T,5,"","Print a listing of sales tax due in a date range.","","***",2/27/2001
"Sales Tax Charged - Canadian","Report Payables",T,"SALESTAX.SPR","SELECT orders.order_no, ;||	orders.invoice_no, ;||	orders.subtotal, ; ||	orders.shipcharge, ;||	orders.order_date, ;||	orders.order_type, ;||	orders.taxable, ;||	orders.tax_ship, ;||	orders.s_tax_rate, ;||	orders.c_tax_rate, ;||	contact.state_abbr, ;||	c","STATETAX.FRX",T,5,"","Print a listing of sales tax due in a date range.","","***",9/10/1997
"Sales Tax Charged - County","Report Payables",T,"SALESTAX.SPR","SELECT orders.order_no, ;||	orders.invoice_no, ;||	orders.subtotal, ; ||	orders.shipcharge, ;||	orders.order_date, ;||	orders.order_type, ;||	orders.taxable, ;||	orders.tax_ship, ;||	orders.s_tax_rate, ;||	orders.c_tax_rate, ;||	contact.state_abbr, ;||	c","COUNTYTX.FRX",T,5,"","Print a listing of sales tax due in a date range.","","***",9/10/1997
"Sales Tax Charged - State/Prov","Report Payables",T,"SALESTAX.SPR","SELECT orders.order_key, ;||	orders.order_no, ;||	orders.invoice_no, ;||	orders.subtotal, ; ||	orders.shipcharge, ;||	orders.order_date, ;||	orders.order_type, ;||	orders.taxable, ;||	orders.tax_ship, ;||	orders.s_tax_rate, ;||	orders.c_tax_rate, ;||	con","STATETAX.FRX",T,5,"","Print a listing of sales tax due in a date range.","","***",9/10/1997
"Sales by Title","Sales Reports",T,"ORDERSEL.SPR","SELECT ;||        title_id, ;||        title, ;||        ISBN, ;||        SUM(order_qty) AS order_qty, ;||        SUM(order_amt) AS order_amt, ;||        SUM(paid_qty) AS paid_qty, ;||        SUM(paid_amt) AS paid_amt ;||  FROM <<Report Title: Title Sale","SALESUMMARY.FRX",F,5,"","Reports sales for selected orders organized by title.","","***",1/6/2010
"Sales vs. Returns by Author","Sales Reports",T,"TITLESEL.SPR","SELECT IIF(ISNULL(last_name), space(35), IIF(EMPTY(last_name), UPPER(company), UPPER(last_name))) AS Sort3, ;||	sales.*, ;||	IIF(order_type = "C", order_qty, 0000000.00) AS orderqty, ;||	IIF(order_type = "R", order_qty, 0000000.00) AS returnqty, ;||	IIF(","SALESVSRETURNS.FRX",T,0,"","Lists total sales and returns for each title for the selected period.  Titles are organized by author.","","***",1/6/2010
"Sales vs. Returns by Supplier","Sales Reports",T,"TITLESEL.SPR","SELECT IIF(!EMPTY(Company), UPPER(company), UPPER(last_name)) AS Sort3, ;||	sales.*, ;||	IIF(order_type = "C", order_qty, 0000000.00) AS orderqty, ;||	IIF(order_type = "R", order_qty, 0000000.00) AS returnqty, ;||	IIF(order_type = "C", order_amt, 0000000","SALESVSRETURNS.FRX",T,0,"","Lists total sales and returns for each title for the selected period.  Titles are organized by supplier.","","***",1/6/2010
"Sample Fancy LIS Envelope","Print Invoice",T,"","SELECT * ;||  FROM contact ;||  WHERE contact_no = m.customerno ;||  INTO CURSOR curcntct","PAENVELOPE.FRX",F,5,"","Prints an envelope for the current invoice.  Change to a landscape printer setup!","This reports generates an individual invoice for the currently displayed customer order from the CUSTORDR screen.","***",12/11/2002
